"X.1","X","Platform","AlbumNo","Album","Song","Streams"
26315,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track15",1450781
26316,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track16",1929714
26317,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track1",3.91
26318,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track2",5.37
26319,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track3",4.29
26320,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track4",3.68
26321,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track5",3.68
26322,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track6",4.22
26323,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track7",4.68
26324,"Kendrick Lamar","Deezer",7,"untitled_unmastered.","Track8",4.25
26325,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track1",23999421
26326,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track2",87174920
26327,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track3",43415021
26328,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track4",22876790
26329,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track5",29891446
26330,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track6",31954470
26331,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track7",65633021
26332,"Kendrick Lamar","Spotify",7,"untitled_unmastered.","Track8",41732106
26333,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track1",335897
26334,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track2",945625
26335,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track3",549446
26336,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track4",339216
26337,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track5",479656
26338,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track6",520543
26339,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track7",493805
26340,"Kendrick Lamar","Last.fm",7,"untitled_unmastered.","Track8",627685
26341,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track1",351112
26342,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track2",1277714
26343,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track3",635268
26344,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track4",261831
26345,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track5",477390
26346,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track6",317921
26347,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track7",800496
26348,"Kendrick Lamar","Genius",7,"untitled_unmastered.","Track8",339629
26349,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track1",401109
26350,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track2",2547489
26351,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track3",446603
26352,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track4",315556
26353,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track5",611999
26354,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track6",413046
26355,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track7",617745
26356,"Kendrick Lamar","YouTube",7,"untitled_unmastered.","Track8",533849
26357,"Kendrick Lamar","Deezer",8,"DAMN.","Track1",5.71
